experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4439,0.964,0.0004,0.0142,0.0,0.0,0.8,-0.0002,0.0032
credit_dp_local_adaptive,0.9962,0.4386,0.9525,0.0008,0.1521,0.0,16.5615,0.8,0.0001,0.4033
credit_dp_local_eps1,0.9959,0.3864,0.883,0.0006,0.1871,0.0,1.3182,0.8,0.0001,0.4532
credit_dp_local_eps2,0.9962,0.4334,0.9511,0.0009,0.1553,0.0,3.9559,0.8,0.0001,0.4084
credit_dp_local_eps5,0.9963,0.4491,0.9563,0.0009,0.1301,0.0,22.6747,0.8,0.0,0.367
credit_dp_server_fixed,0.9962,0.4386,0.9636,0.0003,0.0144,0.0,0.0,0.8011,-0.0001,0.0081
credit_feature_poison_clip,0.9963,0.4439,0.972,0.0006,0.5596,0.0037,0.0,0.7996,-0.0,0.6826
credit_feature_poison_krum,0.9961,0.4178,0.9231,0.0004,0.1422,0.0039,0.0,0.7996,-0.0001,0.3865
credit_feature_poison_median,0.9964,0.4595,0.9788,0.0007,0.2498,0.0036,0.0,0.7996,-0.0,0.5235
credit_feature_poison_only,0.9963,0.4439,0.965,0.0004,0.0138,0.0037,0.0,0.7996,-0.0001,0.0067
credit_feature_poison_trimmed,0.9963,0.4491,0.9802,0.0007,0.2578,0.0037,0.0,0.7996,-0.0,0.5316
credit_final_system,0.996,0.4021,0.9103,0.0006,0.2767,0.004,3.9559,0.8,0.0001,0.5513
credit_label_flip_clip,0.9963,0.4439,0.9656,0.0005,0.6036,0.0037,0.0,0.7996,-0.0,0.6885
credit_label_flip_krum,0.9962,0.4334,0.9247,0.0005,0.1637,0.0038,0.0,0.7996,-0.0,0.4192
credit_label_flip_median,0.9963,0.4439,0.9695,0.0004,0.3459,0.0037,0.0,0.7996,-0.0,0.601
credit_label_flip_only,0.9961,0.4178,0.9214,0.0004,0.0599,0.0039,0.0,0.7996,-0.0003,0.1985
credit_label_flip_trimmed,0.9962,0.4386,0.9682,0.0004,0.3773,0.0038,0.0,0.7996,0.0,0.6199
credit_scaling_clip,0.9963,0.4491,0.977,0.0008,0.2597,0.0037,0.0,0.7996,0.0001,0.5332
credit_scaling_krum,0.9962,0.4334,0.9594,0.0009,0.0086,0.0038,0.0,0.7996,-0.0002,0.0004
credit_scaling_median,0.9963,0.4491,0.98,0.0005,0.0098,0.0037,0.0,0.7996,-0.0001,0.0265
credit_scaling_only,0.9963,0.4439,0.9676,0.0005,0.014,0.0037,0.0,0.7996,-0.0002,0.001
credit_scaling_trimmed,0.9963,0.4491,0.9791,0.0005,0.015,0.0037,0.0,0.7996,-0.0001,0.0472
credit_sign_flip_clip,0.9934,0.0,0.1345,0.0001,0.6908,0.0066,0.0,0.7996,0.0,0.6931
credit_sign_flip_krum,0.9961,0.423,0.9367,0.0002,0.5482,0.0039,0.0,0.7996,-0.0001,0.679
credit_sign_flip_median,0.9958,0.376,0.8318,0.0004,0.6953,0.0042,0.0,0.7996,0.0,0.6931
credit_sign_flip_only,0.9933,0.0,0.1136,0.0004,0.6538,0.0067,0.0,0.7996,0.0,0.6923
credit_sign_flip_trimmed,0.9936,0.0418,0.4824,0.001,0.6886,0.0064,0.0,0.7996,-0.0,0.6931
credit_targeted_flip_clip,0.9953,0.2977,0.8655,0.0002,0.5231,0.4184,0.0,0.7996,-0.0,0.6754
credit_targeted_flip_krum,0.9934,0.0209,0.2597,0.0003,0.0898,0.9592,0.0,0.7996,-0.0,0.2772
credit_targeted_flip_median,0.9961,0.423,0.938,0.0004,0.193,0.1735,0.0,0.7996,-0.0001,0.4609
credit_targeted_flip_only,0.996,0.4073,0.9252,0.0003,0.0059,0.2041,0.0,0.7996,-0.0001,0.0026
credit_targeted_flip_trimmed,0.9961,0.423,0.93,0.0003,0.2707,0.1735,0.0,0.7996,-0.0,0.5451
