experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.8193,0.6691,0.8813,0.0222,0.9646,0.0,0.0,0.7999,0.0104,0.1043
adult_dp_local_adaptive,0.789,0.6631,0.89,0.0195,0.4297,0.0,2.7222,0.7999,0.006,0.393
adult_dp_local_eps1,0.7679,0.6495,0.8851,0.016,0.4758,0.0,1.3182,0.7999,0.006,0.3636
adult_dp_local_eps2,0.7822,0.6592,0.8902,0.0191,0.4619,0.0,3.9559,0.7999,0.0068,0.3209
adult_dp_local_eps5,0.7902,0.666,0.8932,0.0209,0.4584,0.0,22.6747,0.7999,0.0072,0.2912
adult_dp_server_fixed,0.82,0.6683,0.8846,0.0227,0.6374,0.0,1266.7783,0.8005,0.0098,0.1629
adult_feature_poison_clip,0.8082,0.686,0.9006,0.0204,0.6177,0.1918,0.0,0.7999,0.0008,0.6849
adult_feature_poison_krum,0.7984,0.6465,0.8643,0.0195,0.4772,0.2016,0.0,0.7999,0.004,0.5829
adult_feature_poison_median,0.8008,0.6815,0.8924,0.02,0.4884,0.1992,0.0,0.7999,0.0024,0.6002
adult_feature_poison_only,0.8144,0.6708,0.8871,0.0214,0.9819,0.1856,0.0,0.7999,0.0084,0.0968
adult_feature_poison_trimmed,0.8094,0.6885,0.8933,0.0202,0.4845,0.1906,0.0,0.7999,0.0023,0.6012
adult_fedprox,0.8172,0.6743,0.8832,0.0216,0.8135,0.0,0.0,0.7999,0.0091,0.1269
adult_final_system,0.7911,0.662,0.8877,0.018,0.4313,0.2089,3.9559,0.7999,0.0061,0.3842
adult_final_system_feature,0.7774,0.6563,0.8893,0.0181,0.4725,0.2226,3.9559,0.7999,0.0069,0.3221
adult_final_system_sign,0.751,0.0,0.1745,0.0,0.6702,0.249,3.9559,0.7999,-0.0,0.692
adult_final_system_targeted,0.8303,0.6106,0.889,0.0205,0.3574,0.4654,3.9559,0.7999,0.0031,0.3443
adult_fltrust,0.8158,0.6903,0.8937,0.0222,0.4801,0.0,0.0,0.7999,0.0022,0.5993
adult_label_flip_clip,0.7774,0.663,0.8908,0.021,0.6439,0.2226,0.0,0.7999,0.0003,0.6892
adult_label_flip_krum,0.8178,0.6451,0.8673,0.019,0.4681,0.1822,0.0,0.7999,0.0025,0.5809
adult_label_flip_median,0.8059,0.6787,0.8897,0.0214,0.5132,0.1941,0.0,0.7999,0.0016,0.6297
adult_label_flip_only,0.7988,0.6501,0.8619,0.0196,0.5837,0.2012,0.0,0.7999,0.0062,0.2172
adult_label_flip_trimmed,0.8104,0.6781,0.889,0.0215,0.5194,0.1896,0.0,0.7999,0.0019,0.6367
adult_scaling_clip,0.757,0.6488,0.8951,0.0229,0.5511,0.243,0.0,0.7999,0.0012,0.6489
adult_scaling_krum,0.7351,0.6215,0.8642,0.019,0.502,0.2649,0.0,0.7999,0.0058,0.459
adult_scaling_median,0.8054,0.6799,0.894,0.0217,0.4037,0.1946,0.0,0.7999,0.0045,0.4576
adult_scaling_only,0.7699,0.6509,0.8858,0.0195,0.5801,0.2301,0.0,0.7999,0.0078,0.2275
adult_scaling_trimmed,0.8024,0.6784,0.8939,0.0211,0.4073,0.1976,0.0,0.7999,0.0047,0.4622
adult_sign_flip_clip,0.751,0.0,0.8253,0.0,0.6921,0.249,0.0,0.7999,0.0,0.6931
adult_sign_flip_krum,0.8178,0.6451,0.8673,0.019,0.4681,0.1822,0.0,0.7999,0.0025,0.5809
adult_sign_flip_median,0.751,0.0,0.8555,0.0,0.6895,0.249,0.0,0.7999,0.0,0.6931
adult_sign_flip_only,0.751,0.0,0.2176,0.0,0.6973,0.249,0.0,0.7999,-0.0002,0.6914
adult_sign_flip_trimmed,0.751,0.0,0.7699,0.0,0.6929,0.249,0.0,0.7999,-0.0,0.6931
adult_targeted_flip_clip,0.751,0.0,0.8424,0.0,0.5978,1.0,0.0,0.7999,0.001,0.6766
adult_targeted_flip_krum,0.8233,0.6334,0.86,0.0191,0.4659,0.3868,0.0,0.7999,0.003,0.5572
adult_targeted_flip_median,0.8387,0.6769,0.8875,0.0227,0.447,0.3216,0.0,0.7999,0.0031,0.5573
adult_targeted_flip_only,0.7578,0.0629,0.847,0.0022,3.0352,0.9674,0.0,0.7999,0.0017,0.0058
adult_targeted_flip_trimmed,0.841,0.6819,0.888,0.0224,0.4499,0.3156,0.0,0.7999,0.0028,0.5616
