experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_dp_local_adaptive,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_dp_local_eps1,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_dp_local_eps2,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_dp_local_eps5,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_dp_server_adaptive,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_dp_server_fixed,0.2521,0.3987,0.6067,0.4505,0.7255,0.0,0.0,0.4626,0.0005,0.6906
adult_feature_poison_clip,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_feature_poison_krum,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_feature_poison_median,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_feature_poison_only,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_feature_poison_trimmed,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_final_system,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_label_flip_clip,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_label_flip_krum,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_label_flip_median,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_label_flip_only,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_label_flip_trimmed,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_scaling_clip,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_scaling_krum,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_scaling_median,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_scaling_only,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_scaling_trimmed,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_sign_flip_clip,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_sign_flip_krum,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_sign_flip_median,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_sign_flip_only,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_sign_flip_trimmed,0.2521,0.3987,0.6067,0.4505,0.7255,0.7479,0.0,0.4626,0.0005,0.6906
adult_targeted_flip_clip,0.2521,0.3987,0.6067,0.4505,0.7255,0.004,0.0,0.4626,0.0005,0.6906
adult_targeted_flip_krum,0.2521,0.3987,0.6067,0.4505,0.7255,0.004,0.0,0.4626,0.0005,0.6906
adult_targeted_flip_median,0.2521,0.3987,0.6067,0.4505,0.7255,0.004,0.0,0.4626,0.0005,0.6906
adult_targeted_flip_only,0.2521,0.3987,0.6067,0.4505,0.7255,0.004,0.0,0.4626,0.0005,0.6906
adult_targeted_flip_trimmed,0.2521,0.3987,0.6067,0.4505,0.7255,0.004,0.0,0.4626,0.0005,0.6906
