experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4439,0.9573,0.0005,0.0116,0.0,0.0,0.8,-0.0002,0.0218
credit_dp_local_adaptive,0.996,0.4021,0.927,0.0006,0.1473,0.0,16.5682,0.8,0.0,0.3942
credit_dp_local_eps1,0.9954,0.3185,0.7524,0.0006,0.1828,0.0,1.3182,0.8,0.0001,0.445
credit_dp_local_eps2,0.996,0.4021,0.9107,0.0006,0.1512,0.0,3.9559,0.8,0.0,0.4003
credit_dp_local_eps5,0.9963,0.4439,0.9657,0.0009,0.1245,0.0,22.6747,0.8,-0.0001,0.3557
credit_dp_server_fixed,0.9963,0.4439,0.9531,0.0006,0.0134,0.0,0.0,0.7993,-0.0001,0.0385
credit_feature_poison_clip,0.9963,0.4543,0.973,0.0007,0.5552,0.0037,0.0,0.7993,0.0,0.6819
credit_feature_poison_krum,0.9511,0.0556,0.8912,0.0011,0.0967,0.1633,0.0,0.8,0.0001,0.3008
credit_feature_poison_median,0.9515,0.0618,0.9759,0.0025,0.2091,0.0714,0.0,0.8,0.0001,0.4779
credit_feature_poison_only,0.9963,0.4491,0.9607,0.0005,0.0117,0.0037,0.0,0.7993,-0.0002,0.0275
credit_feature_poison_trimmed,0.9515,0.0618,0.9758,0.0023,0.2147,0.0714,0.0,0.8,0.0001,0.485
credit_fedprox,0.9963,0.4491,0.971,0.0005,0.0359,0.0,0.0,0.8,-0.0001,0.1198
credit_final_system,0.9509,0.0516,0.8619,0.0027,0.3053,0.2245,3.9559,0.8,0.0,0.5737
credit_final_system_feature,0.951,0.0529,0.8977,0.0038,0.1526,0.2041,3.9559,0.8,0.0,0.4022
credit_final_system_sign,0.9488,0.0007,0.1137,0.0075,0.7134,0.9898,3.9559,0.8,0.0,0.6929
credit_final_system_targeted,0.9507,0.0475,0.818,0.0039,0.148,0.2857,3.9559,0.8,0.0001,0.3938
credit_fltrust,0.9963,0.4543,0.9766,0.0008,0.2231,0.0,0.0,0.8,0.0,0.495
credit_label_flip_clip,0.9962,0.4386,0.9541,0.0004,0.5964,0.0038,0.0,0.7993,-0.0,0.6877
credit_label_flip_krum,0.9512,0.0563,0.9344,0.001,0.1181,0.1531,0.0,0.8,-0.0001,0.3405
credit_label_flip_median,0.9514,0.0611,0.9656,0.0013,0.2377,0.0816,0.0,0.8,0.0002,0.5098
credit_label_flip_only,0.9962,0.4334,0.9504,0.0004,0.1021,0.0038,0.0,0.7993,-0.0001,0.3033
credit_label_flip_trimmed,0.9514,0.0611,0.9621,0.0011,0.2321,0.0816,0.0,0.8,0.0001,0.5041
credit_scaling_clip,0.9963,0.4491,0.9773,0.0008,0.2643,0.0037,0.0,0.7993,0.0,0.5379
credit_scaling_krum,0.9962,0.4282,0.9378,0.0007,0.0078,0.0038,0.0,0.7993,-0.0002,0.0015
credit_scaling_median,0.9963,0.4543,0.9741,0.0007,0.013,0.0037,0.0,0.7993,-0.0002,0.0381
credit_scaling_only,0.9963,0.4491,0.9608,0.0005,0.013,0.0037,0.0,0.7993,-0.0002,0.0008
credit_scaling_trimmed,0.9963,0.4491,0.9709,0.0007,0.016,0.0037,0.0,0.7993,-0.0002,0.0532
credit_sign_flip_clip,0.9947,0.0955,0.4884,0.0004,0.6924,0.0053,0.0,0.7993,0.0,0.6931
credit_sign_flip_krum,0.9512,0.0563,0.9194,0.0005,0.0905,0.1531,0.0,0.8,-0.0001,0.2875
credit_sign_flip_median,0.9487,0.0075,0.4859,0.001,0.6808,0.8878,0.0,0.8,0.0,0.6931
credit_sign_flip_only,0.9933,0.0,0.0503,0.0006,0.6804,0.0067,0.0,0.7993,0.0,0.693
credit_sign_flip_trimmed,0.9484,0.0014,0.1228,0.0021,0.6836,0.9796,0.0,0.8,0.0,0.6931
credit_targeted_flip_clip,0.9952,0.2872,0.8601,0.0002,0.5247,0.4388,0.0,0.7993,0.0,0.6758
credit_targeted_flip_krum,0.9512,0.0563,0.9157,0.0005,0.1078,0.1531,0.0,0.8,-0.0,0.3238
credit_targeted_flip_median,0.9515,0.0618,0.9761,0.0037,0.2192,0.0714,0.0,0.8,0.0001,0.4907
credit_targeted_flip_only,0.9959,0.3969,0.9224,0.0003,0.0051,0.2245,0.0,0.7993,-0.0,0.0067
credit_targeted_flip_trimmed,0.9515,0.0631,0.9755,0.0032,0.2195,0.051,0.0,0.8,0.0001,0.4914
