experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.8104,0.6531,0.875,0.0203,1.3147,0.0,0.0,0.7999,0.0125,0.0849
adult_dp_local_adaptive,0.7892,0.6622,0.8904,0.0191,0.4268,0.0,2.7331,0.7999,0.0071,0.3898
adult_dp_local_eps1,0.7716,0.647,0.886,0.0158,0.4599,0.0,1.3182,0.7999,0.0071,0.3574
adult_dp_local_eps2,0.7875,0.6619,0.8909,0.0197,0.4501,0.0,3.9559,0.7999,0.0074,0.3149
adult_dp_local_eps5,0.7923,0.6681,0.8937,0.0213,0.4507,0.0,22.6747,0.7999,0.0072,0.286
adult_dp_server_fixed,0.8089,0.6641,0.8805,0.0209,0.9437,0.0,2366.7783,0.8005,0.0097,0.1228
adult_feature_poison_clip,0.8077,0.6839,0.8976,0.0204,0.6155,0.1923,0.0,0.7999,0.0008,0.6844
adult_feature_poison_krum,0.8006,0.6442,0.8606,0.0177,0.4785,0.1994,0.0,0.7999,0.0038,0.5868
adult_feature_poison_median,0.7913,0.6732,0.891,0.0203,0.4939,0.2087,0.0,0.7999,0.0026,0.6022
adult_feature_poison_only,0.8105,0.6655,0.8785,0.0205,1.2355,0.1895,0.0,0.7999,0.0084,0.0853
adult_feature_poison_trimmed,0.7976,0.6781,0.8914,0.0202,0.4915,0.2024,0.0,0.7999,0.0025,0.6025
adult_fedprox,0.8124,0.6651,0.8786,0.0215,1.1344,0.0,0.0,0.7999,0.0101,0.0996
adult_final_system,0.792,0.6611,0.888,0.018,0.4265,0.208,3.9559,0.7999,0.0068,0.3817
adult_fltrust,0.8049,0.6832,0.8917,0.0221,0.4908,0.0,0.0,0.7999,0.0022,0.6044
adult_label_flip_clip,0.7691,0.6585,0.894,0.0218,0.6434,0.2309,0.0,0.7999,0.0004,0.6891
adult_label_flip_krum,0.811,0.6424,0.8686,0.0189,0.4634,0.189,0.0,0.7999,0.0029,0.5735
adult_label_flip_median,0.8079,0.6815,0.8913,0.0224,0.5117,0.1921,0.0,0.7999,0.0017,0.6308
adult_label_flip_only,0.7895,0.6348,0.8533,0.0197,0.6723,0.2105,0.0,0.7999,0.0051,0.2018
adult_label_flip_trimmed,0.8062,0.6802,0.8907,0.0221,0.5208,0.1938,0.0,0.7999,0.002,0.6382
adult_scaling_clip,0.7368,0.6324,0.8928,0.0221,0.5598,0.2632,0.0,0.7999,0.0012,0.65
adult_scaling_krum,0.7141,0.6093,0.8676,0.0186,0.5319,0.2859,0.0,0.7999,0.0063,0.4309
adult_scaling_median,0.7986,0.6775,0.8956,0.0219,0.4122,0.2014,0.0,0.7999,0.0044,0.4636
adult_scaling_only,0.7727,0.6585,0.8897,0.0196,0.5958,0.2273,0.0,0.7999,0.0068,0.2208
adult_scaling_trimmed,0.783,0.6639,0.8927,0.0224,0.4259,0.217,0.0,0.7999,0.0047,0.472
adult_sign_flip_clip,0.751,0.0,0.2668,0.0,0.6924,0.249,0.0,0.7999,0.0,0.6931
adult_sign_flip_krum,0.811,0.6424,0.8686,0.0189,0.4634,0.189,0.0,0.7999,0.0029,0.5735
adult_sign_flip_median,0.2584,0.3999,0.5474,0.0009,0.7258,0.7416,0.0,0.7999,0.0003,0.691
adult_sign_flip_only,0.3449,0.1453,0.2595,0.0123,0.6964,0.6551,0.0,0.7999,-0.0002,0.6919
adult_sign_flip_trimmed,0.751,0.0,0.5107,0.0,0.6887,0.249,0.0,0.7999,0.0,0.6931
adult_targeted_flip_clip,0.751,0.0,0.8435,0.0,0.5981,1.0,0.0,0.7999,0.001,0.6768
adult_targeted_flip_krum,0.8064,0.6463,0.855,0.0167,0.4845,0.2896,0.0,0.7999,0.0034,0.5677
adult_targeted_flip_median,0.8384,0.6821,0.8856,0.0218,0.4547,0.3036,0.0,0.7999,0.0033,0.565
adult_targeted_flip_only,0.7582,0.076,0.8393,0.0026,3.957,0.9601,0.0,0.7999,0.0023,0.0068
adult_targeted_flip_trimmed,0.8359,0.6735,0.8851,0.0215,0.4605,0.3202,0.0,0.7999,0.0031,0.5724
