experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4491,0.958,0.5325,0.0118,0.0,0.0,0.3021,-0.0002,0.0191
credit_dp_local_adaptive,0.9959,0.3969,0.9101,0.5325,0.0643,0.0,0.0,0.4746,-0.0001,0.2171
credit_dp_local_eps1,0.9958,0.376,0.8419,0.5326,0.0802,0.0,0.0,0.4918,-0.0001,0.2552
credit_dp_local_eps2,0.9959,0.3969,0.915,0.5325,0.0594,0.0,0.0,0.4741,-0.0001,0.2045
credit_dp_local_eps5,0.9962,0.4386,0.9505,0.5325,0.0469,0.0,0.0,0.452,-0.0001,0.1693
credit_dp_server_adaptive,0.9957,0.3655,0.8392,0.5323,0.5479,0.0,0.0,0.5429,0.0001,0.6766
credit_dp_server_fixed,0.9963,0.4491,0.9556,0.5325,0.0113,0.0,0.0,0.3208,-0.0002,0.025
credit_feature_poison_clip,0.9963,0.4439,0.9712,0.5325,0.5578,0.0037,0.0,0.5088,-0.0,0.6823
credit_feature_poison_krum,0.9961,0.4178,0.9032,0.5325,0.097,0.0039,0.0,0.4877,-0.0001,0.3019
credit_feature_poison_median,0.9963,0.4543,0.9781,0.5325,0.2286,0.0037,0.0,0.476,0.0,0.5006
credit_feature_poison_only,0.9963,0.4439,0.9569,0.5325,0.0115,0.0037,0.0,0.3044,-0.0002,0.0198
credit_feature_poison_trimmed,0.9963,0.4491,0.9781,0.5325,0.2359,0.0037,0.0,0.4807,-0.0,0.5093
credit_final_system,0.996,0.4073,0.8839,0.5332,0.2723,0.004,0.0,0.5457,0.0001,0.5466
credit_label_flip_clip,0.9962,0.4386,0.9667,0.5325,0.5826,0.0038,0.0,0.5091,-0.0,0.686
credit_label_flip_krum,0.9961,0.4178,0.9134,0.5325,0.1064,0.0039,0.0,0.4925,-0.0001,0.3207
credit_label_flip_median,0.9963,0.4439,0.9656,0.5325,0.193,0.0037,0.0,0.4871,0.0001,0.4584
credit_label_flip_only,0.9961,0.423,0.9446,0.5326,0.0524,0.0039,0.0,0.4598,-0.0001,0.1874
credit_label_flip_trimmed,0.9962,0.4386,0.9666,0.5325,0.2141,0.0038,0.0,0.491,0.0001,0.4845
credit_scaling_clip,0.9963,0.4491,0.978,0.5325,0.2929,0.0037,0.0,0.4885,0.0,0.563
credit_scaling_krum,0.9961,0.4178,0.8936,0.5325,0.1088,0.0039,0.0,0.4895,-0.0,0.3258
credit_scaling_median,0.9964,0.4595,0.977,0.5325,0.0416,0.0036,0.0,0.4105,-0.0001,0.1545
credit_scaling_only,0.9963,0.4491,0.9612,0.5325,0.0128,0.0037,0.0,0.2083,-0.0002,0.001
credit_scaling_trimmed,0.9963,0.4491,0.9756,0.5325,0.0153,0.0037,0.0,0.3445,-0.0001,0.0497
credit_sign_flip_clip,0.996,0.4125,0.8768,0.5328,0.6839,0.004,0.0,0.5393,-0.0,0.6931
credit_sign_flip_krum,0.9961,0.4178,0.8936,0.5325,0.1088,0.0039,0.0,0.4895,-0.0,0.3258
credit_sign_flip_median,0.9963,0.4439,0.9692,0.5325,0.2655,0.0037,0.0,0.4767,0.0001,0.5393
credit_sign_flip_only,0.9959,0.3927,0.8368,0.5794,0.6867,0.0041,0.0,0.54,0.0001,0.6929
credit_sign_flip_trimmed,0.9961,0.4178,0.8822,0.5325,0.6567,0.0039,0.0,0.5338,-0.0,0.6924
credit_targeted_flip_clip,0.9961,0.4178,0.936,0.5333,0.5258,0.1837,0.0,0.5239,-0.0,0.6761
credit_targeted_flip_krum,0.9933,0.0052,0.2317,0.5333,0.0797,0.9898,0.0,0.5088,0.0001,0.253
credit_targeted_flip_median,0.9963,0.4439,0.9703,0.5326,0.1547,0.1327,0.0,0.4891,-0.0,0.4073
credit_targeted_flip_only,0.996,0.4073,0.9323,0.5327,0.005,0.2041,0.0,0.2282,-0.0001,0.0057
credit_targeted_flip_trimmed,0.9962,0.4334,0.9615,0.5326,0.1754,0.1531,0.0,0.4987,0.0,0.4375
