experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.8183,0.6799,0.8906,0.0226,0.5749,0.0,0.0,0.7999,0.0081,0.1695
adult_dp_local_adaptive,0.7815,0.6596,0.8891,0.0199,0.4384,0.0,2.7828,0.7999,0.0068,0.3972
adult_dp_local_eps1,0.7497,0.6333,0.8825,0.0156,0.4848,0.0,1.3182,0.7999,0.007,0.3705
adult_dp_local_eps2,0.781,0.658,0.8891,0.0194,0.4605,0.0,3.9559,0.7999,0.0077,0.3257
adult_dp_local_eps5,0.7921,0.6661,0.8922,0.0211,0.4506,0.0,22.6747,0.7999,0.0078,0.2921
adult_dp_server_fixed,0.8028,0.6733,0.8905,0.021,0.3959,0.0,414.8613,0.8005,0.0061,0.4028
adult_feature_poison_clip,0.7996,0.6807,0.899,0.0213,0.6179,0.2004,0.0,0.8034,0.0007,0.6845
adult_feature_poison_krum,0.7898,0.6408,0.8616,0.0188,0.4614,0.2102,0.0,0.8034,0.0053,0.5528
adult_feature_poison_median,0.8105,0.6854,0.8949,0.021,0.4465,0.1895,0.0,0.8034,0.0032,0.5595
adult_feature_poison_only,0.8115,0.6812,0.8908,0.0209,0.6308,0.1885,0.0,0.8034,0.0067,0.1596
adult_feature_poison_trimmed,0.812,0.6864,0.8948,0.0212,0.4531,0.188,0.0,0.8034,0.0028,0.5689
adult_final_system,0.7844,0.6574,0.886,0.0184,0.4338,0.2156,3.9559,0.7999,0.0068,0.3972
adult_label_flip_clip,0.8023,0.6821,0.895,0.022,0.6332,0.1977,0.0,0.8034,0.0004,0.6879
adult_label_flip_krum,0.817,0.6578,0.8735,0.021,0.4396,0.183,0.0,0.8034,0.0036,0.5428
adult_label_flip_median,0.8107,0.6787,0.8901,0.0203,0.4652,0.1893,0.0,0.8034,0.0033,0.5877
adult_label_flip_only,0.8104,0.6707,0.8792,0.0211,0.431,0.1896,0.0,0.8034,0.0083,0.2866
adult_label_flip_trimmed,0.8221,0.6843,0.8901,0.0221,0.4685,0.1779,0.0,0.8034,0.0029,0.5948
adult_scaling_clip,0.781,0.6672,0.8962,0.0211,0.5355,0.219,0.0,0.8034,0.0014,0.6432
adult_scaling_krum,0.7797,0.6446,0.8626,0.0183,0.4453,0.2203,0.0,0.8034,0.0052,0.3937
adult_scaling_median,0.8147,0.6877,0.8947,0.0218,0.388,0.1853,0.0,0.8034,0.0047,0.4102
adult_scaling_only,0.7814,0.6621,0.8901,0.0208,0.5269,0.2186,0.0,0.8034,0.0068,0.2398
adult_scaling_trimmed,0.81,0.6811,0.8937,0.022,0.3873,0.19,0.0,0.8034,0.0046,0.4136
adult_sign_flip_clip,0.2493,0.3986,0.7762,0.0001,0.6951,0.7507,0.0,0.8034,0.0,0.6931
adult_sign_flip_krum,0.817,0.6578,0.8735,0.021,0.4396,0.183,0.0,0.8034,0.0036,0.5428
adult_sign_flip_median,0.3673,0.4339,0.7688,0.0048,0.6933,0.6327,0.0,0.8034,-0.0,0.6931
adult_sign_flip_only,0.2221,0.1481,0.1525,0.0156,0.7854,0.7779,0.0,0.8034,-0.0003,0.684
adult_sign_flip_trimmed,0.751,0.0,0.5916,0.0,0.6914,0.249,0.0,0.8034,0.0,0.6931
adult_targeted_flip_clip,0.751,0.0,0.8538,0.0,0.5957,1.0,0.0,0.8034,0.001,0.6764
adult_targeted_flip_krum,0.751,0.0,0.4224,0.0,0.7773,1.0,0.0,0.8034,0.0016,0.2288
adult_targeted_flip_median,0.7535,0.0198,0.8323,0.0009,0.5088,0.99,0.0,0.8034,0.0016,0.4263
adult_targeted_flip_only,0.7558,0.0391,0.8537,0.002,1.9335,0.98,0.0,0.8034,0.0016,0.0071
adult_targeted_flip_trimmed,0.755,0.0352,0.8607,0.0014,0.4864,0.982,0.0,0.8034,0.0021,0.4147
