experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4491,0.9602,0.0006,0.0116,0.0,0.0,0.8,-0.0002,0.028
credit_dp_local_adaptive,0.9959,0.3916,0.852,0.0006,0.157,0.0,17.3131,0.8,0.0001,0.4081
credit_dp_local_eps1,0.9938,0.0783,0.4467,0.0008,0.1897,0.0,1.3182,0.8,0.0001,0.4524
credit_dp_local_eps2,0.9959,0.3864,0.8373,0.0008,0.1571,0.0,3.9559,0.8,0.0001,0.408
credit_dp_local_eps5,0.9961,0.4178,0.9134,0.0007,0.1291,0.0,22.6747,0.8,0.0,0.3633
credit_dp_server_fixed,0.9962,0.4386,0.9486,0.0008,0.0311,0.0,0.0,0.7993,-0.0,0.1178
credit_feature_poison_clip,0.9963,0.4543,0.9747,0.0009,0.5319,0.0037,0.0,0.7995,-0.0,0.6774
credit_feature_poison_krum,0.9511,0.055,0.895,0.0006,0.0882,0.1735,0.0,0.8,-0.0,0.2814
credit_feature_poison_median,0.9515,0.0618,0.9729,0.003,0.1635,0.0714,0.0,0.8,-0.0,0.4153
credit_feature_poison_only,0.9963,0.4491,0.9601,0.0005,0.012,0.0037,0.0,0.7995,-0.0002,0.031
credit_feature_poison_trimmed,0.9515,0.0624,0.9722,0.0026,0.1717,0.0612,0.0,0.8,-0.0,0.4282
credit_fedprox,0.9963,0.4491,0.9694,0.0007,0.0483,0.0,0.0,0.8,-0.0001,0.1613
credit_final_system,0.9507,0.0475,0.7979,0.0058,0.3168,0.2857,3.9559,0.8,0.0001,0.5815
credit_final_system_feature,0.9509,0.0502,0.824,0.0054,0.1593,0.2449,3.9559,0.8,0.0001,0.411
credit_final_system_sign,0.949,0.0014,0.1283,0.0031,0.7178,0.9796,3.9559,0.8,-0.0,0.6928
credit_final_system_targeted,0.9498,0.0292,0.6271,0.0057,0.1522,0.5612,3.9559,0.8,0.0001,0.3982
credit_fltrust,0.9963,0.4543,0.9728,0.0008,0.1768,0.0,0.0,0.8,0.0,0.4355
credit_label_flip_clip,0.9963,0.4439,0.9682,0.0007,0.5695,0.0037,0.0,0.7995,0.0,0.684
credit_label_flip_krum,0.9511,0.055,0.9019,0.0005,0.0954,0.1735,0.0,0.8,-0.0,0.2974
credit_label_flip_median,0.9515,0.0618,0.9726,0.0019,0.2462,0.0714,0.0,0.8,0.0001,0.5166
credit_label_flip_only,0.9962,0.4334,0.9481,0.0005,0.1151,0.0038,0.0,0.7995,0.0,0.3274
credit_label_flip_trimmed,0.9514,0.0611,0.966,0.0021,0.2358,0.0816,0.0,0.8,0.0001,0.5063
credit_scaling_clip,0.9963,0.4543,0.9745,0.0009,0.279,0.0037,0.0,0.7995,0.0,0.5513
credit_scaling_krum,0.9961,0.423,0.9278,0.0004,0.007,0.0039,0.0,0.7995,-0.0001,0.0064
credit_scaling_median,0.9963,0.4491,0.9719,0.0009,0.0186,0.0037,0.0,0.7995,-0.0001,0.0676
credit_scaling_only,0.9963,0.4543,0.9648,0.0006,0.0142,0.0037,0.0,0.7995,-0.0002,0.0003
credit_scaling_trimmed,0.9963,0.4491,0.9699,0.0008,0.0213,0.0037,0.0,0.7995,-0.0001,0.079
credit_sign_flip_clip,0.9939,0.0649,0.548,0.0002,0.6905,0.0061,0.0,0.7995,0.0,0.6931
credit_sign_flip_krum,0.9511,0.055,0.9152,0.0005,0.0811,0.1735,0.0,0.8,-0.0,0.2657
credit_sign_flip_median,0.9484,0.0007,0.0602,0.005,0.6926,0.9898,0.0,0.8,0.0,0.6931
credit_sign_flip_only,0.9933,0.0,0.0472,0.001,0.6817,0.0067,0.0,0.7995,0.0,0.6931
credit_sign_flip_trimmed,0.9489,0.0115,0.5229,0.0022,0.6896,0.8265,0.0,0.8,0.0,0.6931
credit_targeted_flip_clip,0.9954,0.3133,0.8978,0.0003,0.509,0.3878,0.0,0.7995,0.0,0.6721
credit_targeted_flip_krum,0.9511,0.0543,0.9058,0.0004,0.1194,0.1837,0.0,0.8,0.0,0.3455
credit_targeted_flip_median,0.9514,0.0611,0.9734,0.0023,0.1521,0.0816,0.0,0.8,0.0,0.4007
credit_targeted_flip_only,0.9959,0.3969,0.9083,0.0004,0.0056,0.2245,0.0,0.7995,-0.0001,0.0099
credit_targeted_flip_trimmed,0.9514,0.0611,0.9731,0.0025,0.1633,0.0816,0.0,0.8,0.0,0.4178
