experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.8223,0.6821,0.8854,0.0214,0.7298,0.0,0.0,0.7999,0.009,0.136
adult_dp_local_adaptive,0.7855,0.6607,0.89,0.0199,0.4344,0.0,2.7478,0.7999,0.0073,0.3885
adult_dp_local_eps1,0.7655,0.6446,0.8851,0.0159,0.474,0.0,1.3182,0.7999,0.0076,0.3574
adult_dp_local_eps2,0.7887,0.6637,0.8904,0.0192,0.4572,0.0,3.9559,0.7999,0.0079,0.3137
adult_dp_local_eps5,0.7948,0.6699,0.8933,0.0211,0.453,0.0,22.6747,0.7999,0.0075,0.2849
adult_dp_server_fixed,0.8283,0.6857,0.8948,0.0221,0.4596,0.0,714.8613,0.8005,0.0051,0.2067
adult_feature_poison_clip,0.8023,0.6825,0.9003,0.0212,0.6184,0.1977,0.0,0.7999,0.0007,0.6848
adult_feature_poison_krum,0.7921,0.6407,0.861,0.0194,0.4782,0.2079,0.0,0.7999,0.0043,0.5797
adult_feature_poison_median,0.8139,0.6878,0.8952,0.0221,0.4673,0.1861,0.0,0.7999,0.0029,0.5844
adult_feature_poison_only,0.8203,0.6808,0.8899,0.022,0.7734,0.1797,0.0,0.7999,0.008,0.1202
adult_feature_poison_trimmed,0.8105,0.6876,0.8955,0.0217,0.4761,0.1895,0.0,0.7999,0.0027,0.5938
adult_fedprox,0.817,0.6781,0.8872,0.0215,0.6222,0.0,0.0,0.7999,0.0083,0.1595
adult_final_system,0.793,0.6627,0.8873,0.0177,0.4323,0.207,3.9559,0.7999,0.0071,0.3695
adult_final_system_feature,0.7835,0.6592,0.8895,0.0188,0.4635,0.2165,3.9559,0.7999,0.0081,0.3142
adult_final_system_sign,0.751,0.0,0.8747,0.0,0.6672,0.249,3.9559,0.7999,0.0,0.6917
adult_final_system_targeted,0.8336,0.6354,0.888,0.0206,0.3576,0.4174,3.9559,0.7999,0.0033,0.34
adult_fltrust,0.8185,0.6942,0.8943,0.0221,0.4696,0.0,0.0,0.7999,0.0027,0.5882
adult_label_flip_clip,0.7792,0.6677,0.8962,0.0211,0.6408,0.2208,0.0,0.7999,0.0003,0.6889
adult_label_flip_krum,0.8218,0.6493,0.8731,0.0202,0.4531,0.1782,0.0,0.7999,0.0032,0.5665
adult_label_flip_median,0.8092,0.6814,0.8945,0.0208,0.4895,0.1908,0.0,0.7999,0.0019,0.6151
adult_label_flip_only,0.8107,0.6663,0.8741,0.0199,0.4803,0.1893,0.0,0.7999,0.0066,0.2368
adult_label_flip_trimmed,0.8172,0.6851,0.8941,0.0212,0.4972,0.1828,0.0,0.7999,0.0014,0.6232
adult_scaling_clip,0.7656,0.6555,0.8958,0.0222,0.544,0.2344,0.0,0.7999,0.0014,0.6457
adult_scaling_krum,0.7539,0.6343,0.8692,0.0201,0.4794,0.2461,0.0,0.7999,0.0058,0.4225
adult_scaling_median,0.813,0.6837,0.895,0.0218,0.3901,0.187,0.0,0.7999,0.0049,0.4331
adult_scaling_only,0.7563,0.6468,0.8885,0.0196,0.6343,0.2437,0.0,0.7999,0.0063,0.2155
adult_scaling_trimmed,0.8044,0.6783,0.8949,0.0208,0.3971,0.1956,0.0,0.7999,0.0048,0.4439
adult_sign_flip_clip,0.7469,0.0039,0.243,0.0003,0.6927,0.2531,0.0,0.7999,0.0,0.6931
adult_sign_flip_krum,0.8218,0.6493,0.8731,0.0202,0.4531,0.1782,0.0,0.7999,0.0032,0.5665
adult_sign_flip_median,0.751,0.0,0.7848,0.0,0.6907,0.249,0.0,0.7999,-0.0,0.6931
adult_sign_flip_only,0.6711,0.0129,0.2274,0.0042,0.6919,0.3289,0.0,0.7999,-0.0002,0.6925
adult_sign_flip_trimmed,0.749,0.0,0.3244,0.0002,0.692,0.251,0.0,0.7999,0.0,0.6931
adult_targeted_flip_clip,0.751,0.0,0.844,0.0,0.5978,1.0,0.0,0.7999,0.0009,0.6767
adult_targeted_flip_krum,0.8114,0.6509,0.8631,0.0187,0.468,0.2936,0.0,0.7999,0.0034,0.5518
adult_targeted_flip_median,0.8374,0.6799,0.8891,0.0219,0.4329,0.3063,0.0,0.7999,0.0034,0.5391
adult_targeted_flip_only,0.757,0.0493,0.8498,0.0021,2.4106,0.9747,0.0,0.7999,0.0023,0.0056
adult_targeted_flip_trimmed,0.8395,0.6769,0.8884,0.0213,0.438,0.3249,0.0,0.7999,0.0034,0.5479
