experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
adult_baseline,0.81,0.6581,0.8778,0.0199,1.1598,0.0,0.0,0.7999,0.011,0.0929
adult_dp_local_adaptive,0.786,0.6611,0.8893,0.0198,0.4367,0.0,2.7276,0.7999,0.0084,0.3791
adult_dp_local_eps1,0.7658,0.646,0.8849,0.0157,0.48,0.0,1.3182,0.7999,0.0085,0.347
adult_dp_local_eps2,0.7844,0.6586,0.8899,0.02,0.4635,0.0,3.9559,0.7999,0.009,0.3059
adult_dp_local_eps5,0.7945,0.6681,0.8931,0.0212,0.458,0.0,22.6747,0.7999,0.0089,0.2781
adult_dp_server_fixed,0.8172,0.6749,0.8845,0.0211,0.8133,0.0,1816.7783,0.8005,0.0077,0.1338
adult_feature_poison_clip,0.8067,0.684,0.8996,0.0221,0.6174,0.1933,0.0,0.7999,0.0007,0.6847
adult_feature_poison_krum,0.79,0.6456,0.8603,0.0184,0.4847,0.21,0.0,0.7999,0.0038,0.5858
adult_feature_poison_median,0.7979,0.6779,0.8914,0.0209,0.489,0.2021,0.0,0.7999,0.0025,0.6012
adult_feature_poison_only,0.8157,0.6726,0.8858,0.0218,1.1604,0.1843,0.0,0.7999,0.0085,0.0814
adult_feature_poison_trimmed,0.8089,0.6886,0.8939,0.0205,0.4853,0.1911,0.0,0.7999,0.0023,0.6014
adult_fedprox,0.8095,0.6678,0.8799,0.0204,0.9775,0.0,0.0,0.7999,0.0102,0.1131
adult_final_system,0.7979,0.6646,0.8869,0.0187,0.4241,0.2021,3.9559,0.7999,0.0079,0.3648
adult_final_system_feature,0.7819,0.6585,0.8888,0.0192,0.4691,0.2181,3.9559,0.7999,0.0091,0.3065
adult_final_system_sign,0.751,0.0,0.8598,0.0,0.6711,0.249,3.9559,0.7999,0.0,0.6921
adult_final_system_targeted,0.8283,0.6137,0.8876,0.0195,0.3598,0.4521,3.9559,0.7999,0.003,0.333
adult_fltrust,0.8064,0.6848,0.8927,0.0223,0.4878,0.0,0.0,0.7999,0.0023,0.6019
adult_label_flip_clip,0.7762,0.6642,0.8943,0.0228,0.6452,0.2238,0.0,0.7999,0.0001,0.6894
adult_label_flip_krum,0.8183,0.6418,0.8687,0.0183,0.4662,0.1817,0.0,0.7999,0.0029,0.5772
adult_label_flip_median,0.8051,0.6804,0.8926,0.0215,0.5153,0.1949,0.0,0.7999,0.0006,0.6333
adult_label_flip_only,0.796,0.6498,0.8564,0.0202,0.646,0.204,0.0,0.7999,0.005,0.2063
adult_label_flip_trimmed,0.8077,0.679,0.8924,0.0218,0.5226,0.1923,0.0,0.7999,0.0008,0.6397
adult_scaling_clip,0.7381,0.6336,0.8938,0.0227,0.5589,0.2619,0.0,0.7999,0.0012,0.6495
adult_scaling_krum,0.7177,0.613,0.8664,0.0202,0.5362,0.2823,0.0,0.7999,0.0072,0.4428
adult_scaling_median,0.7918,0.6743,0.8949,0.0221,0.4183,0.2082,0.0,0.7999,0.0045,0.4639
adult_scaling_only,0.761,0.6455,0.8874,0.0194,0.6179,0.239,0.0,0.7999,0.0069,0.2226
adult_scaling_trimmed,0.7858,0.6674,0.8937,0.0212,0.4228,0.2142,0.0,0.7999,0.0045,0.4713
adult_sign_flip_clip,0.7497,0.0013,0.2391,0.0001,0.6924,0.2503,0.0,0.7999,0.0,0.6931
adult_sign_flip_krum,0.8183,0.6418,0.8687,0.0183,0.4662,0.1817,0.0,0.7999,0.0029,0.5772
adult_sign_flip_median,0.249,0.3987,0.2473,0.0,0.6937,0.751,0.0,0.7999,0.0,0.6931
adult_sign_flip_only,0.3892,0.0687,0.1828,0.0162,0.7028,0.6108,0.0,0.7999,-0.0003,0.6908
adult_sign_flip_trimmed,0.7482,0.0013,0.2004,0.0002,0.6917,0.2518,0.0,0.7999,0.0,0.6931
adult_targeted_flip_clip,0.751,0.0,0.8463,0.0,0.5993,1.0,0.0,0.7999,0.001,0.6773
adult_targeted_flip_krum,0.8107,0.6453,0.8579,0.0178,0.4774,0.3083,0.0,0.7999,0.003,0.5647
adult_targeted_flip_median,0.8349,0.6734,0.8861,0.0214,0.4524,0.3162,0.0,0.7999,0.0032,0.5623
adult_targeted_flip_only,0.7585,0.0737,0.8393,0.0025,3.5384,0.9614,0.0,0.7999,0.0011,0.006
adult_targeted_flip_trimmed,0.8339,0.6633,0.8856,0.0221,0.4567,0.3429,0.0,0.7999,0.0028,0.5691
