experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9933,0.0104,0.2265,0.4816,0.6445,0.0,0.0,0.552,0.0,0.6905
credit_dp_local_adaptive,0.9933,0.0104,0.2265,0.4816,0.6445,0.0,0.0,0.552,0.0,0.6905
credit_dp_local_eps1,0.9933,0.0104,0.2265,0.4816,0.6445,0.0,0.0,0.552,0.0,0.6905
credit_dp_local_eps2,0.9933,0.0104,0.2265,0.4816,0.6445,0.0,0.0,0.552,0.0,0.6905
credit_dp_local_eps5,0.9933,0.0104,0.2265,0.4816,0.6445,0.0,0.0,0.552,0.0,0.6905
credit_dp_server_fixed,0.9933,0.0104,0.2265,0.4816,0.6445,0.0,0.0,0.552,0.0,0.6905
credit_feature_poison_clip,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_feature_poison_krum,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_feature_poison_median,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_feature_poison_only,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_feature_poison_trimmed,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_final_system,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_label_flip_clip,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_label_flip_krum,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_label_flip_median,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_label_flip_only,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_label_flip_trimmed,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_scaling_clip,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_scaling_krum,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_scaling_median,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_scaling_only,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_scaling_trimmed,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_sign_flip_clip,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_sign_flip_krum,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_sign_flip_median,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_sign_flip_only,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_sign_flip_trimmed,0.9933,0.0104,0.2265,0.4816,0.6445,0.0067,0.0,0.552,0.0,0.6905
credit_targeted_flip_clip,0.9933,0.0104,0.2265,0.4816,0.6445,0.9796,0.0,0.552,0.0,0.6905
credit_targeted_flip_krum,0.9933,0.0104,0.2265,0.4816,0.6445,0.9796,0.0,0.552,0.0,0.6905
credit_targeted_flip_median,0.9933,0.0104,0.2265,0.4816,0.6445,0.9796,0.0,0.552,0.0,0.6905
credit_targeted_flip_only,0.9933,0.0104,0.2265,0.4816,0.6445,0.9796,0.0,0.552,0.0,0.6905
credit_targeted_flip_trimmed,0.9933,0.0104,0.2265,0.4816,0.6445,0.9796,0.0,0.552,0.0,0.6905
