experiment,accuracy,f1,auc,leakage,loss,asr,epsilon,mia,confidence_gap,entropy
credit_baseline,0.9963,0.4491,0.9584,0.0008,0.0173,0.0,0.0,0.8,-0.0001,0.0605
credit_dp_local_adaptive,0.9933,0.0,0.2612,0.0009,0.2183,0.0,15.4331,0.8,0.0002,0.4846
credit_dp_local_eps1,0.9933,0.0,0.0678,0.0013,0.2578,0.0,1.3182,0.8,0.0002,0.5257
credit_dp_local_eps2,0.9933,0.0,0.1589,0.001,0.2104,0.0,3.9559,0.8,0.0002,0.4745
credit_dp_local_eps5,0.995,0.2559,0.6536,0.0006,0.1801,0.0,22.6747,0.8,0.0002,0.4378
credit_dp_server_fixed,0.996,0.4021,0.9346,0.001,0.2691,0.0,0.0,0.7991,0.0,0.5321
credit_feature_poison_clip,0.9963,0.4491,0.9681,0.0007,0.4853,0.0037,0.0,0.8004,0.0,0.6652
credit_feature_poison_krum,0.951,0.0529,0.8651,0.0011,0.1738,0.2041,0.0,0.8,0.0001,0.432
credit_feature_poison_median,0.9514,0.0611,0.9633,0.0037,0.1811,0.0816,0.0,0.8,0.0,0.4399
credit_feature_poison_only,0.9963,0.4491,0.9578,0.0007,0.0189,0.0037,0.0,0.8004,-0.0001,0.0675
credit_feature_poison_trimmed,0.9514,0.0611,0.964,0.0035,0.1833,0.0816,0.0,0.8,0.0,0.4431
credit_fedprox,0.9963,0.4491,0.9636,0.0011,0.0958,0.0,0.0,0.8,-0.0002,0.2839
credit_final_system,0.9483,0.0,0.0938,0.0069,0.3624,1.0,3.9559,0.8,0.0002,0.6086
credit_final_system_feature,0.9483,0.0,0.1413,0.0074,0.2151,1.0,3.9559,0.8,0.0002,0.4797
credit_final_system_sign,0.95,0.0138,0.4397,0.0038,0.7279,0.7959,3.9559,0.8,-0.0,0.6926
credit_final_system_targeted,0.9483,0.0,0.0754,0.007,0.2063,1.0,3.9559,0.8,0.0002,0.4679
credit_fltrust,0.9963,0.4491,0.9619,0.0008,0.1825,0.0,0.0,0.8,0.0,0.4422
credit_label_flip_clip,0.9962,0.4334,0.9387,0.0006,0.5638,0.0038,0.0,0.8004,0.0,0.683
credit_label_flip_krum,0.9511,0.055,0.8793,0.0006,0.1751,0.1735,0.0,0.8,0.0,0.4331
credit_label_flip_median,0.9514,0.0597,0.9481,0.0025,0.303,0.102,0.0,0.8,0.0,0.5681
credit_label_flip_only,0.9962,0.4282,0.939,0.0007,0.1566,0.0038,0.0,0.8004,0.0,0.3967
credit_label_flip_trimmed,0.9513,0.059,0.94,0.0021,0.335,0.1122,0.0,0.8,0.0001,0.5915
credit_scaling_clip,0.9963,0.4491,0.9665,0.0009,0.3559,0.0037,0.0,0.8004,0.0,0.6081
credit_scaling_krum,0.9961,0.4178,0.8884,0.0005,0.0314,0.0039,0.0,0.8004,-0.0001,0.1266
credit_scaling_median,0.9963,0.4491,0.9674,0.0009,0.07,0.0037,0.0,0.8004,-0.0001,0.2352
credit_scaling_only,0.9963,0.4491,0.9632,0.0009,0.0079,0.0037,0.0,0.8004,-0.0002,0.0029
credit_scaling_trimmed,0.9963,0.4491,0.9658,0.0009,0.0653,0.0037,0.0,0.8004,-0.0001,0.2238
credit_sign_flip_clip,0.9952,0.288,0.7308,0.0007,0.6913,0.0048,0.0,0.8004,0.0,0.6931
credit_sign_flip_krum,0.9512,0.0577,0.945,0.0021,0.1895,0.1327,0.0,0.8,0.0,0.4516
credit_sign_flip_median,0.95,0.0326,0.6917,0.0048,0.686,0.5102,0.0,0.8,0.0,0.6931
credit_sign_flip_only,0.9933,0.0,0.0367,0.0008,0.7001,0.0067,0.0,0.8004,0.0,0.6931
credit_sign_flip_trimmed,0.9509,0.0503,0.8233,0.0027,0.6903,0.2449,0.0,0.8,0.0,0.6931
credit_targeted_flip_clip,0.9941,0.1201,0.4955,0.0002,0.4927,0.7653,0.0,0.8004,0.0001,0.6674
credit_targeted_flip_krum,0.9509,0.0516,0.8365,0.0011,0.1792,0.2245,0.0,0.8,0.0002,0.4392
credit_targeted_flip_median,0.9514,0.0604,0.9605,0.0037,0.1869,0.0918,0.0,0.8,0.0,0.4489
credit_targeted_flip_only,0.9957,0.3551,0.8144,0.0004,0.0118,0.3061,0.0,0.8004,0.0,0.0389
credit_targeted_flip_trimmed,0.9514,0.0597,0.9588,0.0032,0.1885,0.102,0.0,0.8,0.0,0.4512
